islands,star,bistar,singletons
26.93767625,25.13844364,28.43685814,28.16050831
28.68504907,25.83908626,28.43685814,28.16050831
28.68504907,26.37278101,28.43685814,29.88480864
28.68504907,26.37278101,31.13005488,29.88480864
28.68504907,28.32989248,31.13005488,30.8927458
28.69411599,28.32989248,31.13005488,30.8927458
28.69411599,28.32989248,31.13005488,30.9766592
29.18994933,28.32989248,31.58406651,30.99844755
29.18994933,28.39500269,31.59672154,30.9766592
29.18994933,28.39500269,31.59672154,31.12741867
29.18994933,28.52050345,32.08025911,31.13005025
29.75109942,28.52571275,32.08952811,31.14332587
29.83311875,29.95230805,33.37685245,31.14332587
30.34658316,29.95230805,34.37325326,31.15718961
30.84061535,30.53877708,34.37377505,31.15718961
30.84061535,30.54503008,34.37325326,31.15718961
31.0154499,31.03898941,34.53024169,31.17793602
31.64785378,31.03898941,34.37741992,31.17793602
31.60298198,31.03898941,34.37741992,31.57912649
31.60298198,31.03898941,34.37741992,31.57912649
31.65048536,31.03898941,34.37741992,31.57912649
31.73674185,31.03898941,34.37741992,31.57912649
31.73674185,32.14961753,36.56992346,31.60818677
31.95943785,32.43830997,36.56992346,31.60818677
32.58356087,32.43830997,36.56992346,32.00125407
32.9512944,32.93587484,36.56992346,32.00125407
33.2776389,32.93587484,36.56992346,32.10914322
33.28067515,32.93587484,36.56992346,32.17692099
33.47075493,32.93587484,37.02127432,32.17692099
33.47075493,32.93587484,37.44721627,32.17692099
33.47075493,33.43850048,37.44721627,32.22283349
33.5350807,33.43850048,37.54319918,32.22499799
33.5350807,33.43850048,38.0147424,32.22499799
33.53912832,33.43850048,38.06112992,32.64055762
34.5720912,33.43850048,38.06351087,32.64055762
34.5720912,33.43850048,38.06351087,32.7252137
35.54627458,33.50694402,38.56754018,32.80854703
35.54627458,33.50694402,38.56754018,32.80854703
35.54627458,33.50694402,38.66563262,32.88910259
35.54627458,33.50694402,38.66563262,33.30854703
35.54632787,33.50694402,39.15369959,33.3784293
35.72261948,33.50694402,39.15369959,33.39157343
35.72261948,33.57916624,39.15369959,33.46549285
35.72261948,33.79387287,39.15369959,33.46549285
35.72261948,33.79387287,39.15369959,33.58128028
36.12512014,34.75888348,39.2229353,33.58454826
36.19875907,34.75888348,39.2229353,33.58454826
36.47229383,34.75888348,39.22676314,33.58454826
36.47229383,34.75888348,39.22676314,33.58454826
37.91762815,34.75888348,39.22676314,33.58454826
37.91762815,34.75888348,39.59388959,33.59099921
37.91762815,34.75888348,39.79514674,33.59099921
39.73610292,34.75888348,39.90707509,33.59480467
40.23180467,34.75888348,39.90707509,33.60072143
40.23180467,34.75888348,39.90707509,33.77433255
40.23180467,34.79437677,40.15438916,33.90270885
40.23180467,34.78642805,40.70548779,34.18558056
40.23180467,34.94580867,40.70548779,34.25853451
40.23180467,34.94580867,41.3446381,34.25853451
40.43516702,34.94580867,41.3446381,34.25853451
40.43516702,35.07601259,42.03311212,34.25853451
41.23841917,35.17296876,42.03311212,34.68309663
41.23841917,36.43545683,42.03311212,34.68309663
41.23841917,36.43545683,42.05369247,34.77192485
41.52655304,36.43545683,42.84738395,34.77192485
42.02014278,36.43545683,42.84738395,34.77192485
42.02655304,36.43545683,42.84738395,34.77192485
42.02655304,36.43545683,43.00333633,34.77192485
42.02655304,36.43545683,43.00333633,34.77192485
42.02655304,36.43545683,43.03666966,34.77398707
42.02655304,36.43545683,43.47689004,35.79236226
42.30195176,36.43545683,43.47689004,35.79236226
42.30195176,36.43545683,43.55050948,35.79236226
42.30195176,36.43545683,44.15248437,35.79236226
42.30195176,36.43545683,44.15248437,35.87855681
42.30195176,36.94846753,44.21915104,35.87855681
42.30195176,36.94846753,44.69828209,35.91046564
42.30195176,37.45940471,45.51885042,35.91046564
43.11437638,37.45940471,45.51885042,35.91046564
43.11437638,37.96816807,45.51885042,35.91046564
43.11958034,37.96816807,45.51885042,35.91046564
43.11958034,37.97084357,45.56325381,35.93007342
43.12195213,38.32631264,45.56325381,35.93007342
43.15496079,38.80387464,45.56325381,35.93007342
43.15496079,38.80387464,45.56325381,35.93007342
44.16123785,38.80387464,45.56325381,35.93007342
44.16123785,38.78630764,46.07083275,35.93007342
44.16123785,38.79990611,46.57083275,35.93007342
44.16123785,38.79897314,46.07083275,35.93007342
44.16123785,38.8359168,46.07083275,35.93007342
45.89578159,38.8359168,46.07083275,35.93007342
45.89578159,38.84100528,46.07083275,35.93007342
45.97911492,38.84100528,46.07297076,35.93007342
45.97911492,38.84100528,46.51163986,35.93007342
45.97911492,39.24901347,46.51163986,35.958421
45.97911492,39.24901347,46.51163986,35.958421
45.97911492,39.25873569,46.51163986,36.03625982
45.97911492,39.24901347,46.51542774,36.03625982
45.97911492,39.24901347,46.53544938,36.58047086
45.97911492,39.24901347,46.53544938,36.58047086
46.00036348,39.24901347,46.53544938,37.18956177
45.98568185,39.24901347,46.53544938,37.18956177
45.98568185,39.24901347,46.53544938,37.23956177
45.98568185,39.24901347,46.53544938,37.23956177
45.98568185,39.24901347,46.53544938,37.23956177
45.98568185,39.24901347,47.03837336,37.24587572
45.98568185,39.24901347,47.03837336,37.2487997
45.98568185,39.24901347,47.03837336,37.2487997
45.98568185,39.24901347,47.04259351,37.2487997
45.98568185,39.24901347,47.05789717,37.2487997
46.10472947,39.24901347,47.05789717,37.2487997
46.10472947,39.24901347,47.05789717,37.2487997
46.10472947,39.24901347,47.05789717,37.2487997
46.10472947,39.24901347,47.06195961,37.2487997
46.32020566,39.24901347,47.06195961,37.2487997
47.18060461,39.24901347,47.07293247,37.2487997
47.18060461,39.24901347,47.07620044,37.2487997
47.18060461,39.74901347,47.10041517,37.2487997
47.18060461,39.74901347,47.58796856,37.2487997
47.18060461,39.74901347,47.58796856,37.2874593
47.40911401,39.74901347,47.58994484,37.2874593
47.40911401,39.74901347,47.58994484,37.2874593
47.5026993,39.74901347,47.58994484,37.2874593
47.94518349,39.79778194,47.58994484,37.2874593
48.09127894,39.79778194,47.58994484,37.2874593
48.79469825,39.82093714,47.58994484,37.2874593
48.83545222,39.82093714,47.58994484,37.87628714
48.83545222,39.83111528,47.58994484,37.87628714
